Dia;A;B;C;D;E
12-11-2020;51574,55;44762,51;51588,33;39713,14;49480,95
11-11-2020;51708,55;44838,47;51686,41;39717,70;49461,41
10-11-2020;51678,89;44797,34;51781,06;39795,24;49472,67
09-11-2020;50743,73;44213,67;51410,65;39747,51;49590,07
08-11-2020;50070,14;43747,26;51028,44;39550,09;49467,81
07-11-2020;50070,14;43747,26;51028,44;39550,09;49467,81
06-11-2020;50070,14;43747,26;51028,44;39550,09;49467,81
05-11-2020;49120,16;43091,95;50384,46;39200,44;49274,99
04-11-2020;48778,83;42843,26;50139,75;39042,70;49137,99
03-11-2020;48828,78;42850,30;50086,66;38942,32;49014,39
02-11-2020;48636,96;42708,04;50015,04;38918,80;48991,50
01-11-2020;48941,10;42949,08;50215,17;39042,10;49066,25
31-10-2020;48941,10;42949,08;50215,17;39042,10;49066,25
30-10-2020;48941,10;42949,08;50215,17;39042,10;49066,25
29-10-2020;49280,76;43164,03;50421,25;39096,44;49012,64
28-10-2020;49779,79;43553,26;50708,37;39250,50;49134,56
27-10-2020;50329,83;43916,42;50961,10;39328,17;49119,22
26-10-2020;50708,56;44148,47;51085,46;39346,40;49096,75
25-10-2020;50857,67;44212,11;51144,62;39327,56;49032,77
24-10-2020;50857,67;44212,11;51144,62;39327,56;49032,77
23-10-2020;50857,67;44212,11;51144,62;39327,56;49032,77
22-10-2020;51049,32;44287,56;51202,28;39311,76;48961,62
21-10-2020;51088,50;44322,23;51222,06;39341,79;48957,47
20-10-2020;51001,24;44267,56;51208,42;39371,47;49005,96
19-10-2020;51400,26;44525,18;51341,46;39421,99;49026,27
18-10-2020;51598,43;44636,20;51427,51;39475,14;49062,61
17-10-2020;51598,43;44636,20;51427,51;39475,14;49062,61
16-10-2020;51598,43;44636,20;51427,51;39475,14;49062,61
15-10-2020;51804,16;44786,01;51608,35;39540,29;49073,11
14-10-2020;51789,82;44769,87;51555,87;39513,57;49055,86
13-10-2020;51810,51;44813,63;51572,06;39537,79;49075,35
12-10-2020;51165,74;44301,32;51103,52;39287,20;48885,47
11-10-2020;51165,74;44301,32;51103,52;39287,20;48885,47
10-10-2020;51165,74;44301,32;51103,52;39287,20;48885,47
09-10-2020;51165,74;44301,32;51103,52;39287,20;48885,47
08-10-2020;50611,62;43926,33;50783,37;39126,01;48755,58
07-10-2020;50539,68;43899,51;50814,28;39146,95;48780,87
06-10-2020;50478,37;43839,12;50751,87;39150,04;48864,92
05-10-2020;49825,15;43408,78;50429,62;39034,23;48826,01
04-10-2020;49681,42;43266,83;50199,99;38847,94;48603,45
03-10-2020;49681,42;43266,83;50199,99;38847,94;48603,45
02-10-2020;49681,42;43266,83;50199,99;38847,94;48603,45
01-10-2020;49625,31;43195,76;50117,29;38771,52;48470,19
30-09-2020;49198,19;42882,03;49901,53;38695,05;48480,04
29-09-2020;49265,47;42954,96;49956,20;38756,08;48605,44
28-09-2020;48989,40;42794,41;49925,04;38844,78;48729,96
27-09-2020;48905,37;42759,06;50010,84;38934,13;48824,03
26-09-2020;48905,37;42759,06;50010,84;38934,13;48824,03
25-09-2020;48905,37;42759,06;50010,84;38934,13;48824,03
24-09-2020;48777,85;42768,14;50195,98;39139,20;49053,26
23-09-2020;49000,34;42903,06;50277,40;39216,86;49124,34
22-09-2020;48951,88;42872,08;50314,40;39245,24;49167,01
21-09-2020;49272,27;43102,60;50482,52;39306,35;49154,66
20-09-2020;49423,94;43240,21;50649,33;39470,71;49268,00
19-09-2020;49423,94;43240,21;50649,33;39470,71;49268,00
18-09-2020;49423,94;43240,21;50649,33;39470,71;49268,00
17-09-2020;49423,94;43240,21;50649,33;39470,71;49268,00
16-09-2020;49345,78;43189,96;50632,73;39508,98;49341,89
15-09-2020;49536,44;43303,25;50698,33;39542,02;49357,42
14-09-2020;49124,27;43023,53;50474,77;39429,67;49276,13
13-09-2020;48924,91;42965,86;50484,35;39532,43;49408,35
12-09-2020;48924,91;42965,86;50484,35;39532,43;49408,35
11-09-2020;48924,91;42965,86;50484,35;39532,43;49408,35
10-09-2020;49224,37;43228,60;50700,92;39682,26;49567,40
09-09-2020;49447,29;43409,90;50910,72;39775,66;49642,14
08-09-2020;49783,17;43609,18;51058,32;39866,62;49716,97
