Dia;A;B;C;D;E
31-12-2013;29371,58;25651,78;29812,04;23613,58;31032,48
30-12-2013;29300,76;25604,05;29771,05;23596,31;31021,38
29-12-2013;29276,51;25568,12;29736,96;23569,22;30975,77
28-12-2013;29276,51;25568,12;29736,96;23569,22;30975,77
27-12-2013;29276,51;25568,12;29736,96;23569,22;30975,77
26-12-2013;29359,51;25629,61;29785,10;23579,89;30972,19
25-12-2013;29344,84;25629,28;29785,63;23580,90;30968,71
24-12-2013;29344,84;25629,28;29785,63;23580,90;30968,71
23-12-2013;29356,53;25641,99;29803,98;23584,56;30969,46
22-12-2013;29289,93;25609,47;29777,72;23578,79;30978,21
21-12-2013;29289,93;25609,47;29777,72;23578,79;30978,21
20-12-2013;29289,93;25609,47;29777,72;23578,79;30978,21
19-12-2013;29278,53;25584,82;29753,74;23570,60;30978,96
18-12-2013;29085,79;25481,15;29671,98;23523,04;30945,14
17-12-2013;29137,12;25501,41;29685,58;23534,05;30958,88
16-12-2013;29105,92;25482,25;29670,78;23526,07;30955,48
15-12-2013;29254,14;25571,53;29741,09;23549,13;30935,19
14-12-2013;29254,14;25571,53;29741,09;23549,13;30935,19
13-12-2013;29254,14;25571,53;29741,09;23549,13;30935,19
12-12-2013;29377,20;25655,27;29804,35;23571,65;30932,12
11-12-2013;29543,93;25750,41;29864,52;23592,44;30934,22
10-12-2013;29441,48;25682,40;29797,30;23561,86;30932,67
09-12-2013;29419,02;25676,06;29791,75;23550,97;30913,99
08-12-2013;29390,92;25656,20;29781,24;23525,91;30874,35
07-12-2013;29390,92;25656,20;29781,24;23525,91;30874,35
06-12-2013;29390,92;25656,20;29781,24;23525,91;30874,35
05-12-2013;29511,21;25721,65;29830,13;23542,83;30854,54
04-12-2013;29580,27;25764,99;29863,52;23552,96;30850,99
03-12-2013;29712,09;25854,66;29925,32;23578,10;30855,84
02-12-2013;29637,66;25806,68;29877,63;23557,60;30845,26
01-12-2013;29505,18;25706,27;29786,79;23523,57;30830,81
30-11-2013;29505,18;25706,27;29786,79;23523,57;30830,81
29-11-2013;29505,18;25706,27;29786,79;23523,57;30830,81
28-11-2013;29320,88;25591,09;29693,35;23501,84;30870,75
27-11-2013;29186,62;25495,22;29612,40;23479,78;30874,34
26-11-2013;29233,31;25543,10;29648,66;23488,02;30883,25
25-11-2013;29241,12;25542,29;29644,57;23484,46;30882,78
24-11-2013;29280,50;25586,66;29689,67;23505,50;30891,85
23-11-2013;29280,50;25586,66;29689,67;23505,50;30891,85
22-11-2013;29280,50;25586,66;29689,67;23505,50;30891,85
21-11-2013;29363,70;25658,11;29739,69;23510,99;30871,92
20-11-2013;29359,32;25655,92;29722,54;23486,24;30843,93
19-11-2013;29346,28;25656,58;29714,44;23475,90;30839,85
18-11-2013;29245,65;25574,60;29658,45;23465,94;30847,97
17-11-2013;29046,42;25426,92;29542,76;23415,42;30823,69
16-11-2013;29046,42;25426,92;29542,76;23415,42;30823,69
15-11-2013;29046,42;25426,92;29542,76;23415,42;30823,69
14-11-2013;28926,03;25353,19;29480,07;23376,28;30785,44
13-11-2013;28982,09;25415,60;29528,65;23378,13;30769,63
12-11-2013;29026,48;25441,14;29547,27;23381,87;30774,38
11-11-2013;29028,24;25466,31;29577,61;23384,14;30779,66
10-11-2013;29017,31;25472,36;29566,96;23360,77;30743,13
09-11-2013;29017,31;25472,36;29566,96;23360,77;30743,13
08-11-2013;29017,31;25472,36;29566,96;23360,77;30743,13
07-11-2013;29165,12;25552,35;29615,89;23368,05;30716,59
06-11-2013;29169,25;25560,03;29611,75;23362,73;30698,48
05-11-2013;29149,76;25530,36;29579,61;23354,73;30689,01
04-11-2013;29000,04;25433,62;29495,11;23314,19;30675,88
03-11-2013;29066,78;25454,78;29487,28;23305,27;30643,32
02-11-2013;29066,78;25454,78;29487,28;23305,27;30643,32
01-11-2013;29066,78;25454,78;29487,28;23305,27;30643,32
31-10-2013;29066,78;25454,78;29487,28;23305,27;30643,32
30-10-2013;29066,78;25454,78;29487,28;23305,27;30643,32
29-10-2013;28962,40;25390,11;29432,71;23259,21;30594,73
28-10-2013;28886,86;25343,97;29396,58;23237,33;30583,77
27-10-2013;28883,97;25349,58;29392,63;23225,36;30556,43
26-10-2013;28883,97;25349,58;29392,63;23225,36;30556,43
25-10-2013;28883,97;25349,58;29392,63;23225,36;30556,43
24-10-2013;28839,37;25316,15;29349,84;23201,56;30552,39
23-10-2013;28846,38;25310,17;29324,12;23185,96;30547,04
22-10-2013;28754,12;25245,43;29267,05;23158,01;30518,88
21-10-2013;28541,93;25091,88;29121,26;23091,06;30494,52
20-10-2013;28313,41;24928,38;28965,61;23001,82;30409,66
19-10-2013;28313,41;24928,38;28965,61;23001,82;30409,66
18-10-2013;28313,41;24928,38;28965,61;23001,82;30409,66
17-10-2013;28384,00;24982,63;29013,70;23009,69;30396,69
16-10-2013;28328,84;24955,75;28998,47;22999,50;30384,67
15-10-2013;28317,43;24941,78;28990,97;23000,00;30386,08
14-10-2013;28228,36;24878,28;28941,34;22969,64;30375,99
13-10-2013;28107,97;24800,79;28881,51;22941,41;30360,64
12-10-2013;28107,97;24800,79;28881,51;22941,41;30360,64
11-10-2013;28107,97;24800,79;28881,51;22941,41;30360,64
10-10-2013;27905,29;24672,42;28791,47;22910,98;30346,89
09-10-2013;27861,11;24650,88;28762,02;22892,62;30340,39
08-10-2013;27922,44;24684,44;28783,17;22901,28;30338,03
07-10-2013;28019,72;24749,83;28829,87;22913,37;30328,49
06-10-2013;28002,95;24730,79;28816,51;22899,50;30312,43
05-10-2013;28002,95;24730,79;28816,51;22899,50;30312,43
04-10-2013;28002,95;24730,79;28816,51;22899,50;30312,43
03-10-2013;28108,57;24796,01;28864,91;22925,53;30317,25
02-10-2013;28112,37;24804,22;28879,85;22925,00;30304,46
01-10-2013;28007,89;24736,10;28830,46;22904,48;30297,14
30-09-2013;28170,45;24858,31;28924,89;22935,04;30300,89
29-09-2013;28159,61;24859,74;28923,96;22929,72;30297,11
28-09-2013;28159,61;24859,74;28923,96;22929,72;30297,11
27-09-2013;28159,61;24859,74;28923,96;22929,72;30297,11
26-09-2013;28141,64;24845,47;28912,29;22924,20;30297,09
25-09-2013;28086,42;24822,67;28895,31;22914,14;30297,16
24-09-2013;28104,60;24837,91;28918,26;22919,28;30302,52
23-09-2013;28324,51;24935,45;28988,76;22952,12;30293,06
22-09-2013;27995,69;24728,02;28819,93;22861,49;30269,91
21-09-2013;27995,69;24728,02;28819,93;22861,49;30269,91
20-09-2013;27995,69;24728,02;28819,93;22861,49;30269,91
19-09-2013;27995,69;24728,02;28819,93;22861,49;30269,91
18-09-2013;27995,69;24728,02;28819,93;22861,49;30269,91
17-09-2013;27995,69;24728,02;28819,93;22861,49;30269,91
